Date,High,Low,Open,Close,Volume,Adj Close
2022-02-21,16238.150390625,15780.0,16038.0,16012.25,227592.0,16012.25
2022-02-22,16270.0,15275.0,15300.0,16189.4501953125,322374.0,16189.4501953125
2022-02-23,16390.0,16035.0498046875,16390.0,16133.599609375,241830.0,16133.599609375
2022-02-24,15895.900390625,15200.0,15600.0,15245.2001953125,361563.0,15245.2001953125
2022-02-25,16065.0,15570.0,15788.0,15772.150390625,320337.0,15772.150390625
2022-02-28,16084.849609375,15365.0,15700.0,16012.5498046875,373257.0,16012.5498046875
2022-03-02,16157.150390625,15632.0,15705.0,16053.0,281715.0,16053.0
2022-03-03,16347.9501953125,15646.7998046875,16300.0,15704.099609375,340014.0,15704.099609375
2022-03-04,15672.2998046875,15212.0,15590.0,15333.2001953125,338059.0,15333.2001953125
2022-03-07,14994.0,13799.900390625,14994.0,14373.2001953125,371521.0,14373.2001953125
2022-03-08,14525.0,13951.0498046875,14400.0,14450.7001953125,462569.0,14450.7001953125
2022-03-09,15199.5498046875,14400.0,14501.099609375,15015.2001953125,391341.0,15015.2001953125
2022-03-10,15850.0,15305.0498046875,15649.0,15467.4501953125,476405.0,15467.4501953125
2022-03-11,15750.0,15280.0,15400.0,15569.0,329632.0,15569.0
2022-03-14,15735.0,15411.5,15475.599609375,15678.5,285201.0,15678.5
2022-03-15,15950.0,15534.0498046875,15749.0,15708.900390625,296511.0,15708.900390625
2022-03-16,16240.0,15851.0498046875,15900.599609375,16124.849609375,298317.0,16124.849609375
2022-03-17,16589.0,16255.0,16399.0,16370.7998046875,402068.0,16370.7998046875
2022-03-21,16443.94921875,16150.0,16399.94921875,16180.7998046875,201635.0,16180.7998046875
2022-03-22,16590.0,15951.0,16250.0,16494.599609375,265279.0,16494.599609375
2022-03-23,16728.75,16344.2001953125,16600.0,16407.349609375,229079.0,16407.349609375
2022-03-24,16512.0,16270.0,16350.0,16378.7001953125,183924.0,16378.7001953125
2022-03-25,16500.0,16240.150390625,16500.0,16333.2998046875,147748.0,16333.2998046875
2022-03-28,16560.0,16101.0498046875,16400.0,16518.94921875,175187.0,16518.94921875
2022-03-29,16620.0,16423.150390625,16536.0,16501.69921875,198138.0,16501.69921875
2022-03-30,17249.849609375,16531.0,16600.0,17128.900390625,454764.0,17128.900390625
2022-03-31,17300.0,16982.0,17100.0,17060.44921875,298692.0,17060.44921875
2022-04-01,17200.0,17011.19921875,17030.0,17139.19921875,210141.0,17139.19921875
2022-04-04,17480.0,16955.25,17199.0,17196.349609375,324394.0,17196.349609375
2022-04-05,17300.0,16758.55078125,17220.0,16818.849609375,385537.0,16818.849609375
2022-04-06,16899.099609375,16651.0,16818.849609375,16720.0,246552.0,16720.0
2022-04-07,16700.0,16480.0,16650.0,16553.900390625,216790.0,16553.900390625
2022-04-08,16840.0,16517.30078125,16700.0,16749.0,213383.0,16749.0
2022-04-11,16845.44921875,16550.05078125,16675.0,16577.849609375,169686.0,16577.849609375
2022-04-12,16502.0,16222.099609375,16502.0,16318.0498046875,247647.0,16318.0498046875
